koster_movie_id,filename,siteName,created_on,Author,fps,duration
1,000114 TMBL-ROV 2000 Säckenrevet EJ numrerade band.mov,Reef Säcken,2000-01-14,NA,25,2836.84
2,000114 TMBL-ROV 2000 Säckenrevet Tape 55.mov,Reef Säcken,2000-01-14,NA,25,9534.16
3,000203 TMBL-ROV 2000 Säcken EJ numrerade band.mov,Reef Säcken,2000-02-03,NA,25,629.44
4,000203 TMBL-ROV 2000 Säcken revet EJ numrerade band.mov,Reef Säcken,2000-02-03,NA,25,2392
5,000203 TMBL-ROV 2000 säcken Tape 56.mov,Reef Säcken,2000-02-03,NA,25,4730.04
6,000203 TMBL-ROV 2000 Säckenrevet Tape 56.mov,Reef Säcken,2000-02-03,NA,25,6178.76
7,010424 Säckenrevet alfa Tape 74.mov,Reef Säcken,2001-04-24,NA,25,4137.32
8,010424 Säckenrevet beta Tape 74.mov,Reef Säcken,2001-04-24,NA,50,301.44
9,01484001_1.mov,Reef Säcken,2013-01-08,NA,50,301.44
10,01484002_1.mov,Reef Säcken,2013-01-08,NA,50,301.44
11,01484003_1.mov,Reef Säcken,2013-01-08,NA,50,301.44
12,01484004_1.mov,Reef Säcken,2013-01-08,NA,50,301.44
13,01484005_1.mov,Reef Säcken,2013-01-08,NA,50,301.44
14,01484006_1.mov,Reef Säcken,2013-01-08,NA,50,301.44
15,01484007_1.mov,Reef Säcken,2013-01-08,NA,29.97,602.1021
16,01724008_1.mov,Grisbadarna,2015-03-13,NA,29.97,602.1021
17,01725006_1.mov,Grisbadarna,2015-03-13,NA,29.97,602.1021
18,01725007_1.mov,Grisbadarna,2015-03-13,NA,29.97,602.1021
19,01727001_1.mov,Bratten,2015-03-16,NA,25,1663.72
20,020130 TMBL-ROV 2002 Säcken transekt 1.mov,Reef Säcken,2002-01-30,NA,25,1913.92
21,020130 TMBL-ROV 2002 Säcken transekt 2.mov,Reef Säcken,2002-01-30,NA,25,2521
22,020130 TMBL-ROV 2002 Säcken transekt 3.mov,Reef Säcken,2002-01-30,NA,25,5192.04
23,020628 TMBL-ROV 2002 O Hollanderberget Säcken.mov,Reef Säcken,2002-06-28,NA,25,1470.4
24,020629 TMBL-ROV 2002 O Väderöarna.mov,Vader islands 1,2002-06-29,NA,25,7356.8
25,030317-18 TMBL-ROV 2003 Säckenrevet.mov,Reef Säcken,2003-03-17,NA,25,6804.96
26,030325 TMBL-ROV 2003 Säckenrevet bioerosion.mov,Reef Säcken,2003-03-25,NA,25,3223.76
27,031023 TMBL-ROV 2003 Säcken Bioerosion.mov,Reef Säcken,2003-01-23,NA,25,4169.72
28,040220 TMBL-ROV 2004 Säckenrevet alfa.mov,Reef Säcken,2004-02-20,NA,25,2831.8
29,040415 TMBL-ROV 2004 Valkadaver del 1.mov,Whale fall,2004-04-15,NA,25,318.84
30,040415 TMBL-ROV 2004 Valkadaver del 2.mov,Whale fall,2004-04-15,NA,25,4006.44
31,040521 TMBL-ROV 2004 Säcken NO.mov,Reef Säcken,2004-05-21,NA,25,4206.04
32,040522 TMBL-ROV 2004 Säckenrevet.mov,Reef Säcken,2004-05-22,NA,25,5314.48
33,040522 TMBL-ROV 2004 Säckenrevet rubble.mov,Reef Säcken,2004-05-22,NA,25,3453.08
34,041119 TMBL-ROV 2004 Yttre Vattenholmen.mov,Vattenholmen,2004-11-19,NA,25,6859.72
35,090202 TMBL-ROV 1997 Yttre Vattenholmen.mov,Vattenholmen,2009-02-02,NA,25,6034.52
36,090803 Offshore 1 sva Utsjöbanksinventering Svaberget 1.mov,Svaberget,2009-08-03,NA,25,1897.2
37,090915 Offshore 8a sva Utsjöbanksinventering Svaberget 8.mov,Svaberget,2009-09-15,NA,25,921.96
38,970623 TMBL-ROV 1997 Tape 1 Kattholmen.mov,Kattholmen,1997-06-23,Tomas Lundälv,25,7376.72
39,970708 TMBL-ROV 1997 Tape 2 Krugglöbranten.mov,Krugglobranten,1997-07-08,Tomas Lundälv,25,1238.92
40,970708 TMBL-ROV 1997 Tape 2 S Kostergrund.mov,Kostergrund,1997-07-08,Tomas Lundälv,25,4028.4
41,970717 TMBL-ROV 1997 Tape 3 V Klippgrund.mov,Klippgrund,1997-07-17,NA,25,2731.08
42,970807 TMBL-ROV 1997 Tape 3 Krugglöbranten.mov,Krugglobranten,1997-08-07,Tomas Lundälv,25,3622.2
43,990304 TMBL-ROV 1999 Yttre Vattenholmen Tape 36_SELECTWS.mov,Vattenholmen,1999-03-04,NA,25,6341.28
44,990331 TMBL-ROV 1999 Säckenrevet Tape 37_SELECTWS.mov,Reef Säcken 1,1999-03-31,NA,25,6341.28
45,990506 TMBL-ROV 1999 Revet Säcken 2 Tape 42.mov,Reef Säcken,1999-05-06,NA,25,1682.72
46,990506 TMBL-ROV 1999 Revet Säcken 2 Tape 42_SELECTWS.mov,Reef Säcken,1999-05-06,NA,25,3800.64
47,990506 TMBL-ROV 1999 Revet Säcken Tape 42_SELECTWS.mov,Reef Säcken,1999-05-06,NA,25,2624.04
48,990622 TMBL-ROV 1999 V Yttre Vattenholmen Tape 44.mov,Vattenholmen,1999-06-22,NA,25,1750.76
49,990719 TMBL-ROV 1999 V Yttre Vattenholmen Tape 45.mov,Vattenholmen,1999-07-19,NA,25,2805
50,990805 TMBL-ROV 1999 Yttre Vattenholmen Tape 45.mov,Vattenholmen,1999-08-05,NA,50,301.44
51,990806 TMBL-ROV 1999 Yttre Vattenholmen Tape 45.mov,Vattenholmen,1999-08-06,NA,50,301.44
52,990810 TMBL-ROV 1999 Väderöarna Tape 46.mov,Vader islands,1999-08-10,NA,50,301.44
53,990810 TMBL-ROV 1999 Väderöarna-Storö Tape 46.mov,Vader islands,1999-08-10,NA,50,301.44
54,990812 TMBL-ROV 1999 O Storö TApe 47.mov,Vader islands,1999-08-12,NA,29.97,602.1021
55,990813 TMBL-ROV 1999 Storö-Torsö Utsidan rännan tape 48.mov,Vader islands,1999-08-13,NA,99,99999
56,01485005.mov,Reef Säcken,2013-01-08,NA,99,99999
57,01487003.mov,unknown,2013-01-08,NA,99,99999
58,01487004.mov,unknown,2013-01-08,NA,99,99999
59,01487005.mov,unknown,2013-01-08,NA,99,99999
60,01724003.mov,unknown1,2015-03-13,NA,99,99999
61,01112003.mp4,Reef Säcken,2019-01-01,NA,99,99999
62,01112004.mp4,Reef Säcken,2019-01-01,NA,99,99999
63,01112005.mp4,Reef Säcken,2019-01-01,NA,99,99999
64,Film_3.mp4,Reef Säcken,2019-01-01,NA,99,99999
65,01747002.mp4,Vattenholmen,2015-08-12,LarsOve,99,99999
66,01747003.mp4,Vattenholmen,2015-08-12,LarsOve,99,99999
67,01747008.mp4,Vattenholmen,2015-08-12,LarsOve,99,99999
96,01532007.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
97,01532008.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
98,01532009.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
99,01532010.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
100,01532011.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
101,01532012.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
102,01532013.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
103,01532014.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
104,01532015.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
105,01532016.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
106,01532017.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
107,01532018.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
108,01532019.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
109,01532020.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
110,01532021.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
111,01532022.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
112,01532023.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
113,01532024.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
114,01532025.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
115,01532026.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
116,01532027.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
117,01532028.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
118,01532029.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
119,01532030.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
120,01532031.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
121,01532032.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
122,01532033.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999
123,01532034.mov,Vattenholmen,2021-04-01,Roger Joanson,99,99999