koster_site_id,siteName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode
1,Reef Säcken,59.01442972,11.11670409,EPSG:4326,SE
2,Grisbadarna,58.916505,10.816999,EPSG:4326,SE
3,Bratten,58.498638,10.530687,EPSG:4326,SE
4,Vader islands 1,58.576833,11.085,EPSG:4326,SE
5,Whale fall,58.86666667,11.09546667,EPSG:4326,SE
6,Vattenholmen,58.87661092,11.10425483,EPSG:4326,SE
7,Svaberget,58.358176,11.087281,EPSG:4326,SE
8,Kattholmen,59.05992,11.15752,EPSG:4326,SE
9,Krugglobranten,58.88886,11.09105,EPSG:4326,SE
10,Kostergrund,58.87177,11.08274,EPSG:4326,SE
11,Klippgrund,0,0,EPSG:4326,SE
13,Reef Säcken 1,58.879404,11.113143,EPSG:4326,SE
14,Vader islands,58.573525,11.075837,EPSG:4326,SE
15,unknown,59.01442972,11.11670409,EPSG:4326,SE
16,unknown1,58.916505,10.816999,EPSG:4326,SE